,ref_index,ref_mz,ref_z,ref_MS1,ref_minMS1,ref_maxMS1,ref_RT,ref_minRT,ref_maxRT,ref_intensity,ref_SNratio,ref_PercentageTF,comp_index,comp_mz,comp_z,comp_MS1,comp_minMS1,comp_maxMS1,comp_RT,comp_minRT,comp_maxRT,comp_intensity,comp_SNratio,comp_PercentageTF
0,19.0,153.0180097,1.0,5022.0,5001.0,9999.0,598.89,596.7040000000001,1136.82,67399904.0,10450.1,47.5111,150.0,153.01800402408895,1.0,5337.0,5001.0,9999.0,607.7367173201134,596.8330000000001,1137.35,32189012.0,8613.4,47.5242
1,687.0,214.1183148,0.0,7143.0,6996.0,9999.0,827.37,811.472,1136.82,49893192.0,8187.5,28.6191,606.0,214.11836452198452,0.0,7122.0,6996.0,9957.0,825.4813224378952,812.2510000000001,1132.93,17466876.0,3810.9,28.1953
2,304.0,172.0965765,1.0,5715.0,5568.0,9999.0,673.32,657.54,1136.82,41345768.0,7003.4,42.1597,334.0,172.09659255585314,1.0,5925.0,5799.0,9873.0,665.9643313026996,682.799,1123.95,13313487.0,3858.3,38.7876
3,1414.0,131.0334436,1.0,9831.0,5001.0,9999.0,1118.89,596.7040000000001,1136.82,31415838.0,7930.8,47.5111,1243.0,131.0334626368655,1.0,9831.0,5001.0,9999.0,1121.0811647192027,596.8330000000001,1137.35,32696112.0,7071.7,47.5242
4,20.0,206.0810975,1.0,5022.0,5001.0,8025.0,598.89,596.7040000000001,922.684,25280094.0,3919.6,28.6747,134.0,206.0811299479141,1.0,5274.0,5106.0,7815.0,605.426045983508,608.19,900.842,9426306.0,2538.3,25.730999999999998
5,243.0,163.0386441,1.0,5631.0,5001.0,9999.0,664.28,596.7040000000001,1136.82,24536656.0,5111.4,47.5111,359.0,163.03864273491993,1.0,6009.0,5001.0,9999.0,673.4005414682031,596.8330000000001,1137.35,12350889.0,3439.8,47.5242
6,416.0,190.0531522,1.0,6198.0,6072.0,7857.0,725.4,711.768,904.357,18731898.0,4704.4,16.941,421.0,190.0531942334046,1.0,6387.0,6261.0,7521.0,724.1154981958215,732.692,869.191,10099253.0,2839.4,12.0015
7,271.0,245.0924088,1.0,5673.0,5421.0,7122.0,668.85,641.748,825.069,18503876.0,3316.8,16.1258,279.0,245.09236632893501,1.0,5820.0,5694.0,6408.0,657.3311577258496,671.433,748.564,5902466.0,1646.4,6.7816
8,182.0,172.0391003,1.0,5484.0,5274.0,9999.0,648.51,625.953,1136.82,16147057.0,4463.9,44.9382,208.0,172.0390720493156,1.0,5631.0,5085.0,9978.0,640.4691106460219,605.9490000000001,1135.17,17013094.0,4154.8,46.5311
9,339.0,174.0547229,1.0,5757.0,5547.0,9957.0,677.84,655.29,1132.36,16044763.0,3001.7,41.9653,380.0,174.05474877883444,1.0,6114.0,5736.0,8319.0,685.5143638159507,675.944,955.582,4553930.0,1368.1,24.5868
